id;nome;email;telefone;data_nascimento;cidade;estado;cep;renda_mensal;data_compra_mais_recente;valor_compra_mais_recente;ativo;categoria_cliente
30;Zuleica Nogueira;zuleicanogueira744@empresa.com.br;55 86 924348316;1973-11-14;Belém;BA;93460-044;R$600,00;01-09-2024;R$600,00;1;Silver
31;Zuleica Uchoa;zuleicauchoa@yahoo.com.br;(79) 91644-8213;18 Sep 1951;  Maringá  ;RJ;90766-872;R$600,00;2024-09-28;600.00;1;Bronze
32;  Paula Ribeiro  ;paularibeiro@gmail.com;(62) 91480-8110;16-02-1949;Belo Horizonte;GO;84770-250;600;2024-10-27;R$ 600,00;FALSE;Platinum
33;Mariana Teixeira;marianateixeira@yahoo.com.br;  (67 ) 97529-5183  ;18 Aug 1951;Maringá;PA;94969-865; 600,00 ;2025-08-24;600.00;1;Gold
34;Lucas Silva;lucassilva@outlook,com;55 11 992721803;1964-08-25;Manaus;MG;90123-807; 600,00 ;20-05-2024;600;Não;Bronze
35;Xavier Nogueira;xaviernogueira@hotmail.com;91944653695;07/01/1987;Londrina;RS;82959-809;600;19-08-2024;R$ 600,00;1;Gold
36;Iara Silva;  iarasilva@outlook.com  ;  (92 ) 95374-4626  ;17/07/1957;Maringá;RS;87693-908;R$600,00;2024-11-07;R$ 600,00;Não;Bronze
37;Rafael Nogueira;rafaelnogueira@hotmail.com;(84 ) 94583-1536;08-07-2006;Maringá;MG;86219991;600;02/01/2025;R$ 600,00;1;Gold
38;  Tiago Almeida  ;tiagoalmeida@outlook.com;55 31 990804394;1969-11-16;Fortaleza;RJ;80844134; 600,00 ;2025-07-07;R$ 600,00;Yes;Bronze
39;Bruno Esteves;brunoesteves@empresa.com.br; (81) 98408-2786 ;04/02/1986;São Paulo;PA;96065-729; 600,00 ;2025-05-05;600;1;Bronze
40;Iara Teixeira;iarateixeira@empresa.com.br;55 71 974339282;02 Aug 1983;Belo Horizonte;PA;93631747; 600,00 ;2025-02-27;600.00;0;Platinum
41;  Paula Cardoso  ;paulacardoso@gmail.com;55 47 991151982;13-08-1949;Belém;PE;85070-672;600;26/12/2024;R$600,00;   sim   ;Silver
42;Iara Silva;iarasilva@yahoo.com.br;(92) 90430-5381;11/08/1957;Manaus;SC;97382-220;R$ 600,00;12/03/2024;600.00;Sim;Bronze
43;  Sônia Teixeira  ;  soniateixeira@gmail.com  ;;20 Dec 1975;Maringá;MG;81488-225; 600,00 ;2025-08-30;R$ 600,00;   sim   ;Gold
44;Eduarda Yamamoto;;(47 ) 96229-9725;07 Sep 1946;  Goiânia  ;GO;93686296;R$ 600,00;16-11-2024;R$600,00;1;Platinum
45;  Wagner Lima  ;wagnerlima@gmail.com;+5583950836562;1990-10-02;  Florianópolis  ;PA;83368-149;R$ 600,00;2024-12-23; 600,00 ;Yes;Silver
46;Yasmin Uchoa;yasminuchoa@empresa.com.br;   (79) 95179-3473   ;15-01-1950;Maringá;DF;81864-377;600;2024-11-13; 600,00 ;0;Bronze
47;Quésia Mendes;  quesiamendes@empresa.com.br  ;55 61 952678792; 1990-04-08 ;São Paulo;DF;91924-381;600;2025-03-24;R$ 600,00;   sim   ;Silver
48;Ulisses Uchoa;ulissesuchoa@outlook.com;55 47 954612335;21/05/1998;Goiânia;PA;97248-095;R$600,00;20-01-2025;600.00;FALSE;Silver
49;Gabriela Klein;gabrielaklein@yahoo.com.br;55 71 916579317;01 Aug 1998;  Joinville  ;SC;81431-420; 600,00 ;04-07-2024;600.00;Yes;Platinum
50;Zuleica Oliveira;zuleicaoliveira@hotmail.com; (61) 96026-8218 ;1999-04-01;Brasília;PE;98171956;600.00;23-02-2024;600.00;0;Gold
51;Iara Oliveira;iaraoliveira@hotmail.com;   (85) 95727-1436   ;22/02/1965;Joinville;PE;84508-039;R$ 600,00;11-04-2024;600;FALSE;Silver
52;  Otávio Teixeira  ;  otavioteixeira@gmail,com  ;91969342821;21/08/1950;  Belo Horizonte  ;PE;96887-588; 600,00 ;26-05-2025;R$600,00;   sim   ;Bronze
53;Nátaly Ferreira;natalyferreira@gmail.com;  55 92 983129316  ;17-06-1946;  Londrina  ;PE;84371-045;600;19/12/2024;600;Não;Gold
54;Wagner Pereira;wagnerpereira@hotmail.com;+5571933021717; 22-06-1987 ;Belém;BA;90876279;R$600,00;2024-07-14; 600,00 ;FALSE;Bronze
55;Mariana Klein;marianaklein@yahoo.com.br;(67) 91353-7955;03-06-1974;Florianópolis;SC;94651-043;R$ 600,00;12/03/2025;R$ 600,00;0;Gold
56;  Zuleica Barbosa  ;zuleicabarbosa@yahoo.com.br;  (11) 92339-8179  ;22/11/1995;Fortaleza;SC;82519587;600;2025-04-05;R$600,00;FALSE;Platinum
57;Ana Xavier;anaxavier@empresa.com.br;55 67 973114515;28 Jun 1960;Londrina;RJ;98022-555;R$ 600,00;23-11-2024;R$600,00;FALSE;Bronze
58;Felipe Zanetti;  felipezanetti@hotmail.com  ;55 86 904306912;26/09/1952;Maringá;BA;98838075;600.00;05-05-2025; 600,00 ;1;Platinum
59;Eduarda Yamamoto;eduardayamamoto@empresa.com.br;+5521920349488;22-07-1991;Florianópolis;GO;84101-640;600.00;13/09/2024;600;   sim   ;Gold
60;Eduarda Ferreira;  eduardaferreira@empresa.com.br  ;(11 ) 91330-1744;15/06/2000;Salvador;DF;88024-824; 600,00 ;2025-07-12;R$600,00;TRUE;Platinum
61;Nátaly Pereira;natalypereira@outlook.com;81965323142;1985-05-03;Belo Horizonte;CE;88135-985;R$ 600,00;2024-02-21;600;1;Platinum
62;Yasmin Ferreira;yasminferreira@empresa.com.br; (31) 96442-9281 ;05/26/1989;Recife;PR;83522441;R$ 600,00;2025-04-26;600;   sim   ;Bronze
63;Bruno Silva;brunosilva@outlook.com;+5592945822946;1957-12-11;Brasília;SC;81275-140; 600,00 ;15-02-2025;600;Sim;Bronze
64;Eduarda Klein;eduardaklein@outlook.com;55 71 997276511;18-01-1978;Londrina;RS;99559-485;R$600,00;02-03-2025;R$ 600,00;TRUE;Bronze
65;Bruno Silva;brunosilva@empresa.com.br;55 47 939681517;03 Aug 1958;Belo Horizonte;CE;84524-531;600;24-02-2025;R$600,00;0;Bronze
66;Felipe Oliveira;felipeoliveira@outlook.com;+5567999958932;07 Aug 1963;Salvador;MG;83993-587;600;23-12-2024;600;TRUE;Gold
67;Zuleica Esteves;zuleicaesteves@outlook.com;+5567978494505;10/20/1954;Salvador;GO;87629053;600;02/09/2024;600.00;Sim;Silver
68;Rafael Ferreira;rafaelferreira@yahoo.com.br;(79) 94676-1969;1982-06-29;Fortaleza;GO;89485897;R$ 600,00;2024-02-07;600.00;0;Silver
69;Otávio Uchoa;otaviouchoa@yahoo.com.br;67931592845;31-03-1975;Maringá;GO;96884335;600.00;16/07/2024;R$ 600,00;1;Platinum
70;Henrique Almeida;henriquealmeida@hotmail.com;(11 ) 94285-6890;25/11/1972;Belo Horizonte;RJ;84376489;R$600,00;2024-10-29; 600,00 ;No;Silver
71;Paula Yamamoto;paulayamamoto@hotmail.com;55 31 986098319;1990-05-08;Rio de Janeiro;SP;83808-696;R$ 600,00;02/06/2024; 600,00 ;FALSE;Platinum
72;Otávio Esteves;otavioesteves@yahoo.com.br;71903567487;02/11/2007;Recife;PR;89407418;R$600,00;02/03/2024;600;0;Bronze
73;Lucas Mendes;lucasmendes@yahoo.com.br;(92) 92178-6697;15-01-1947;Brasília;GO;87525-253;600.00;2025-07-11;R$ 600,00;   sim   ;Platinum
74;Bruno Zanetti;  brunozanetti@empresa.com.br  ;  55 61 911022653  ;01/09/1966;São Paulo;PR;87673-835;R$600,00;27/02/2024;R$600,00;   sim   ;Gold
75;Henrique Jardim;  henriquejardim@empresa.com.br  ;(51) 96999-9120;22-05-1958;Brasília;SC;89854-878;R$600,00;2025-07-04;R$600,00;No;Silver
76;  Rafael Queiroz  ;  rafaelqueiroz@hotmail.com  ;55 85 960792514;19/07/1948;  Recife  ;PE;95708-213;-;24-08-2025; 600,00 ;   sim   ;Silver
77;Xavier Duarte;xavierduarte@yahoo.com.br;83939216269;23/10/1986;Goiânia;SC;90253423;-;2025-04-25;R$600,00;No;Gold
78;Sônia Silva;soniasilva@outlook.com;62981806530;04-02-1960;Londrina;PA;97168-034;R$600,00;2025-07-13;R$ -;Yes;Bronze
79;Eduarda Uchoa;eduardauchoa@hotmail,com;(86) 97993-1257;21/09/1970;  Campinas  ;BA;97183-152;600;16/03/2025; 600,00 ;Não;Bronze
80;Carla Lima;carlalima@yahoo.com.br; (31) 90519-2531 ;05 Nov 1989;  Londrina  ;PR;87528-216;600.00;05-12-2024;R$ 600,00;Não;Bronze
81;Vitória Ibrahim;vitoriaibrahim@empresa.com.br;(11 ) 93394-3362;11/30/1979;Rio de Janeiro;AM;81759-100;600.00;23-05-2024; 600,00 ;Não;Gold
82;Mariana Yamamoto;;+5592961508075;06/08/1951;  Brasília  ;AM;90376369;600;24-01-2025;600.00;Yes;Platinum
83;Eduarda Cardoso;  eduardacardoso@yahoo.com.br  ;55 31 957982524;17/10/1979;Belém;PR;92475173;600;26/07/2025;R$600,00;   sim   ;Silver
84;Nátaly Jardim;natalyjardim@gmail.com;   (86) 99728-4203   ;31-01-1979;  Manaus  ;PE;90507-617;600;16-03-2025; 600,00 ;Yes;Gold
85;João Xavier;joaoxavier@yahoo.com.br;(67) 96437-6980;01 Jun 1947;Recife;BA;93406-689;600.00;2024-08-02; 600,00 ;TRUE;Bronze
86;  Zuleica Mendes  ;zuleicamendes@empresa.com.br;84989071602; 01/17/2003 ;  Rio de Janeiro  ;MG;80345-100;600;2025-02-13;600.00;1;Bronze
87;Otávio Lima;otaviolima@empresa.com.br; (86) 91712-5840 ;25-12-1972;  Rio de Janeiro  ;GO;95602-099;600.00;30-07-2024;600;0;Gold
88;Diego Almeida;diegoalmeida@gmail.com;55 62 984543858;21 Sep 1961;Campinas;MG;80145-721;R$600,00;2024-07-21;600.00;1;Platinum
89;Zuleica Ribeiro;zuleicaribeiro@outlook.com;55 86 986466134;2000-05-21;Brasília;SC;90262-120;600;31-10-2024;R$600,00;Não;Silver
90;Tiago Esteves;tiagoesteves@yahoo.com.br; (51) 99091-3733 ;18/03/1977;Florianópolis;CE;93406-701; 600,00 ;2024-07-18;R$ 600,00;   sim   ;Platinum
91;Zuleica Yamamoto;zuleicayamamoto@gmail.com;55 85 992679115;25 Sep 1948;Belo Horizonte;BA;81056-460;600;11/03/2025; 600,00 ;No;Gold
92;Zuleica Hernandez;zuleicahernandez@empresa.com.br;+5584927193281;1993-05-03;São Paulo;BA;84442-985;600;2024-10-26; 600,00 ;TRUE;Bronze
93;Wagner Esteves;wagneresteves@outlook.com;(86 ) 92329-5402;05-04-1991;  Maringá  ;DF;99069-002;R$ 600,00;2025-01-12;R$600,00;0;Gold
94;Wagner Lima;wagnerlima@empresa.com.br;86943996289;14/02/1949;Porto Alegre;CE;94460467;600;15/04/2025;R$ 600,00;Não;Silver
95;Ulisses Jardim;  ulissesjardim@outlook.com  ;(51 ) 90848-7493;24 Feb 1964;Fortaleza;SP;80304-008;R$ 600,00;30/08/2025;R$ 600,00;   sim   ;Platinum
96;Carla Hernandez;carlahernandez@gmail.com;(83) 92181-3340;1964-02-12;Curitiba;RJ;84587770;R$600,00;29/03/2025;600;Não;Bronze
97;Henrique Ibrahim;henriqueibrahim@hotmail.com;55 11 949424366;26 May 1989;Recife;RS;91832-956;R$ 600,00;26-05-2025;600.00;Não;Bronze
98;Felipe Yamamoto;felipeyamamoto@gmail,com;55 21 909907520;06/20/2002;Joinville;PE;82589-523;R$600,00;2024-06-05;R$ 600,00;Não;Gold
99;Yasmin Uchoa;yasminuchoa@gmail.com;(62) 90948-5005;2004-10-04;Belo Horizonte;AM;96266-975;R$ 600,00;20-05-2024;600;Sim;Silver
100;Xavier Yamamoto;xavieryamamoto827@gmail.com;(91 ) 91046-5308;10/28/1989;Rio de Janeiro;BA;87484-758;600;2024-06-10;R$ 600,00;Não;Bronze
101;Mariana Esteves;marianaesteves@gmail.com;+5584936786272;09/18/1955;Belém;SP;93137-070; 600,00 ;23/02/2024;600;No;Bronze
102;Otávio Almeida;otavioalmeida@outlook.com;+5585960339083;02-08-1993;Fortaleza;PE;90076-106;R$ 600,00;2024-01-10;600.00;Sim;Platinum
103;Eduarda Watanabe;eduardawatanabe@gmail.com;  55 81 975112391  ;11/12/1995;Porto Alegre;PE;90322-948;R$ 600,00;13/05/2024; 600,00 ;TRUE;Gold
104;  Carla Gonçalves  ;carlagoncalves@empresa.com.br;55 79 966602978;1953-02-10;Recife;CE;90741151;600;07-11-2024;R$ 600,00;Sim;Silver
105;  Iara Ferreira  ;iaraferreira@yahoo.com.br;  +5541975702669  ;09-12-1980;São Paulo;MG;80714066;600.00;27-03-2024;600.00;TRUE;Bronze
106;  Zuleica Klein  ;zuleicaklein@yahoo.com.br; (83) 98128-1483 ; 1985-01-05 ;Florianópolis;RJ;93500-903;600;08-09-2024;600;TRUE;Platinum
107;Zuleica Queiroz;zuleicaqueiroz@empresa.com.br; (81) 97859-9921 ;08/10/1973;Joinville;RS;99136-238;600.00;14/10/2024;R$ 600,00;0;Gold
108;Xavier Barbosa;xavierbarbosa@hotmail.com;55 51 928854875;1995-07-26;Goiânia;PR;85752502;-;2024-07-11; 600,00 ;   sim   ;Gold
109;Karen Teixeira;karenteixeira@hotmail.com;+5579909751359;08 Jul 1978;Porto Alegre;BA;85161-749;600;2024-12-10;R$ 600,00;FALSE;Silver
110;Rafael Watanabe;rafaelwatanabe@empresa.com.br;(51 ) 96199-6026;30/11/1995;Porto Alegre;PR;96258-144; 600,00 ;21-11-2024;R$600,00;No;Bronze
111;Carla Watanabe;carlawatanabe@outlook.com;(31) 95742-5205;22 Feb 1982;São Paulo;GO;95711-807;R$600,00;25-12-2024;600.00;1;Bronze
112;  Bruno Jardim  ;brunojardim@outlook.com;55 83 926362228;1983-09-12;Rio de Janeiro;AM;90849-210;R$600,00;20/03/2025;R$ 600,00;Sim;Bronze
113;Vitória Jardim;vitoriajardim@gmail,com;(47) 90893-6911; 30/11/1962 ;Manaus;PA;95517864; 600,00 ;23-06-2024;R$600,00;TRUE;Bronze
114;Ulisses Ribeiro;ulissesribeiro@outlook.com;67972048619;10-12-2004;Salvador;RJ;92684-838;R$ 600,00;27-02-2025;R$ 600,00;No;Bronze
115;Henrique Pereira;henriquepereira@yahoo.com.br;(91) 99363-3415;27/04/1956;Maringá;RJ;90477-932;600.00;21/03/2025;600.00;Yes;Gold
116;Iara Queiroz;iaraqueiroz@gmail.com;  +5584918437790  ;20-01-1993;Belo Horizonte;AM;81227-176;R$ 600,00;2024-09-27;600;0;Platinum
117;Karen Watanabe;  karenwatanabe@yahoo.com.br  ; (71) 95094-5593 ;02-10-1984;Belo Horizonte;MG;94474-216;600.00;02-03-2025;600;Não;Silver
118;Bruno Queiroz;  brunoqueiroz@gmail.com  ;+5591993171474;15-07-1949;Recife;MG;84059697;R$ 600,00;2024-10-07;R$600,00;0;Platinum
119;Sônia Ribeiro;soniaribeiro@hotmail.com;   (31) 94670-1449   ;21 Feb 1969;Recife;PA;99698820;600.00;2024-01-10;600.00;Yes;Silver
120;Ulisses Ibrahim;ulissesibrahim@yahoo.com.br;  55 71 985307506  ;23-08-1999;Joinville;SC;89059-655; 600,00 ;2024-04-20; 600,00 ;Não;Gold
121;Gabriela Esteves;gabrielaesteves@hotmail.com;  (83 ) 95236-3292  ;01/11/1979;Londrina;RS;97518-653;R$600,00;08/08/2025;R$600,00;FALSE;Silver
122;Vitória Ribeiro;vitoriaribeiro@gmail.com;  (92 ) 92999-6499  ;07-05-1978;Goiânia;RS;99122-594;R$600,00;19/04/2025;600;0;Bronze
123;Mariana Queiroz;marianaqueiroz@gmail.com;+5579967048496; 12/02/1973 ;Florianópolis;CE;96042-804;600;07/10/2024;600.00;Yes;Silver
124;  Paula Mendes  ;  paulamendes@empresa.com.br  ;(79) 98700-4122;20 Mar 1954;Fortaleza;SC;89771-971;600;09/11/2024;600.00;Não;Bronze
125;Eduarda Klein;eduardaklein@yahoo.com.br;;29/02/1960;Porto Alegre;PR;99461-049; 600,00 ;2024-02-08; 600,00 ;TRUE;Bronze
126;Mariana Duarte;marianaduarte@yahoo.com.br;  (11 ) 94933-7895  ;05/31/1954;Joinville;AM;96309-203;600.00;2024-04-30;R$600,00;Não;Bronze
127;Nátaly Jardim;natalyjardim@empresa.com.br;(79) 93842-1044;01/30/1953;Belo Horizonte;PA;89700-270;R$600,00;2024-04-13;600.00;No;Platinum
128;Zuleica Vieira;  zuleicavieira@gmail.com  ;47927936384;29/05/1961;Salvador;SP;93819-664;600;2025-04-12;600;1;Platinum
129;Felipe Duarte;felipeduarte@empresa.com.br;(83 ) 95875-1472;15/07/1984;Porto Alegre;CE;91085-531;R$ 600,00;17/11/2024;R$600,00;   sim   ;Silver
130;Lucas Vieira;lucasvieira@yahoo.com.br;55 21 901903571;12-08-1966;Londrina;SP;93214-836;R$600,00;21-02-2024;600;No;Platinum
131;  Otávio Klein  ;otavioklein414@yahoo.com.br;(92) 98996-1002;01-08-1975;Manaus;BA;91904-733;-;2024-08-16;R$600,00;FALSE;Platinum
132;Ulisses Zanetti;ulisseszanetti@empresa.com.br;(86) 92301-7704;05-02-1962;Recife;PE;94987-674;-;28/02/2025;R$600,00;Não;Platinum
133;Rafael Nogueira;rafaelnogueira@yahoo.com.br; (51) 92103-2696 ;2007-02-17;Belém;PE;84527-422;R$600,00;2024-12-17; 600,00 ;0;Silver
134;Karen Watanabe;karenwatanabe@empresa.com.br;(71 ) 95657-3173;08/08/1976;Florianópolis;GO;93840827;600;07-08-2025;R$ 600,00;1;Gold
135;Iara Yamamoto;  iarayamamoto@outlook.com  ;(71) 93342-9866;01/21/2003;  Maringá  ;PA;92503-396; 600,00 ;07-06-2025;600.00;TRUE;Bronze
136;Xavier Ibrahim;xavieribrahim@yahoo.com.br;(81 ) 99640-9955;08/04/1960;Recife;RJ;84262-164;R$ 600,00;2024-02-11;600.00;TRUE;Gold
137;Eduarda Klein;eduardaklein@empresa.com.br;(92 ) 95866-2194;20 Apr 1959;Fortaleza;BA;86991-679;R$ 600,00;17/02/2025; 600,00 ;FALSE;Silver
138;Rafael Yamamoto;rafaelyamamoto@gmail.com; (62) 90653-6258 ;16-05-1991;Belo Horizonte;BA;89713-919;600;2025-06-04;R$ 600,00;0;Bronze
139;Yasmin Ribeiro;yasminribeiro@gmail.com;55 84 917024368; 14-03-1986 ;Campinas;SP;98287-072;600.00;16/03/2024;R$ 600,00;Yes;Gold
140;  Nátaly Klein  ;natalyklein@gmail.com;  55 21 911896860  ;13/06/1980;Manaus;RS;97882-302;R$600,00;30/06/2025;R$600,00;Yes;Platinum
141;Xavier Uchoa;  xavieruchoa@gmail.com  ;55 11 993837456;01/08/1982;Rio de Janeiro;GO;83755-185;600;07/07/2024;600.00;TRUE;Silver
142;Rafael Oliveira;;+5586954206851;06 Jul 1973;  Fortaleza  ;AM;90365-981;R$ 600,00;09-11-2024;600.00;Yes;Gold
143;Nátaly Ibrahim;natalyibrahim@hotmail.com; (85) 95877-6004 ;1993-04-28;Florianópolis;SP;96619646;600;19-03-2024;600.00;Não;Bronze
144;Rafael Ibrahim;rafaelibrahim@empresa.com.br;+5562996605767;2004-06-14;  Joinville  ;SC;85217-183; 600,00 ;18-06-2024;R$ 600,00;Yes;Platinum
145;Lucas Barbosa;lucasbarbosa@yahoo.com.br; (61) 98485-6918 ;11-10-1991;Maringá;PR;92342-669;600;26-09-2024;R$ 600,00;   sim   ;Silver
146;Henrique Queiroz;henriquequeiroz@outlook.com;+5591922768207;13-02-1959;Joinville;MG;90820737;600.00;01-05-2024;600.00;No;Platinum
147;Nátaly Almeida;natalyalmeida@hotmail.com;(21) 99376-3406;16/03/2002;Florianópolis;PE;99874-482; 600,00 ;17/10/2024; 600,00 ;No;Platinum
148;Yasmin Ferreira;yasminferreira@empresa.com.br;+5585997732127;26 May 2006;  Porto Alegre  ;MG;97413-515; 600,00 ;08/04/2024; 600,00 ;0;Bronze
149;Ana Yamamoto;  anayamamoto@yahoo.com.br  ;;1983-03-05;Brasília;DF;88447193; 600,00 ;26/08/2024;R$ 600,00;TRUE;Platinum
150;Mariana Uchoa;marianauchoa@outlook.com; (67) 94281-9783 ;07/14/1994;Salvador;PE;88315-314;600.00;14-01-2025;R$600,00;   sim   ;Platinum
151;Diego Xavier;diegoxavier@hotmail.com; (92) 90852-3633 ;23/01/1984;Curitiba;RJ;92593-953;R$600,00;2024-08-15; 600,00 ;Não;Bronze
152;Yasmin Ferreira;yasminferreira@yahoo,com,br;(91) 94685-4190;21/06/2005;Joinville;MG;93088-361;-;01/01/2024;600.00;Não;Gold
153;Carla Ribeiro;carlaribeiro@empresa.com.br; (67) 93707-4187 ;13/02/1995;Curitiba;PE;97626-832; 600,00 ;14/12/2024;R$ 600,00;   sim   ;Gold
154;Henrique Yamamoto;henriqueyamamoto@yahoo.com.br;(86) 91904-5224;09/05/1976;Fortaleza;MG;93072-689;600;26/09/2024;R$600,00;TRUE;Bronze
155;Gabriela Silva;gabrielasilva@hotmail.com;+5567933874755;19 Aug 2005;Goiânia;SP;90335-504;R$ 600,00;08/07/2025;R$ 600,00;0;Gold
156;Yasmin Queiroz;yasminqueiroz@hotmail.com;(84) 97836-9859;10/20/1955;Brasília;DF;99038-103;600.00;09/01/2024;R$600,00;No;Platinum
157;Paula Teixeira;paulateixeira@hotmail.com;81959817563;1969-03-21;Porto Alegre;PA;95498825;600.00;25/01/2025;R$ 600,00;Yes;Silver
158;Rafael Xavier;rafaelxavier@yahoo.com.br;(83) 91621-3676;10-01-1975;Salvador;PA;80649421;R$ 600,00;27-07-2025;R$600,00;TRUE;Gold
159;Ulisses Ribeiro;ulissesribeiro@outlook.com;55 85 912847243;08/20/2001;Porto Alegre;PA;87478-321;600;14/03/2024;R$600,00;Yes;Gold
160;Otávio Yamamoto;otavioyamamoto@outlook.com;+5551930121378;23 Dec 1959;Salvador;GO;80863-789;R$ 600,00;2024-03-06;600.00;   sim   ;Bronze
161;Ulisses Mendes;  ulissesmendes@hotmail.com  ;(91) 92795-1468;19 Mar 1994;Belém;CE;97152-655; 600,00 ;06/07/2025;600;0;Platinum
162;Otávio Jardim;otaviojardim536@outlook.com; (47) 95634-5698 ;14-08-1983;Londrina;CE;93491-903;600;08-01-2024;R$ 600,00;FALSE;Silver
163;Mariana Hernandez;;67946649715;02 Jun 2000;Rio de Janeiro;RS;84985-050;R$ 600,00;18/05/2025;R$600,00;FALSE;Bronze
164;  Otávio Xavier  ;otavioxavier@gmail.com; (71) 98165-7084 ;28 Nov 1968;São Paulo;DF;92503848;600.00;26/04/2025;R$ 600,00;No;Gold
