id,nome,email,telefone,data_nascimento,cidade,estado,cep,renda_mensal,data_compra_mais_recente,valor_compra_mais_recente,ativo,categoria_cliente
66,Felipe Oliveira,felipeoliveira@outlook.com,67999958932,07/08/1963,Salvador,MG,83993587,"600,00",23/12/2024,"600,00",SIM,Gold
67,Zuleica Esteves,zuleicaesteves@outlook.com,67978494505,10/20/1954,Salvador,GO,87629053,"600,00",02/09/2024,"600,00",SIM,Silver
68,Rafael Ferreira,rafaelferreira@yahoo.com.br,79946761969,29/06/1982,Fortaleza,GO,89485897,"600,00",07/02/2024,"600,00",NAO,Silver
69,Otavio Uchoa,otaviouchoa@yahoo.com.br,67931592845,31/03/1975,Maringa,GO,96884335,"600,00",16/07/2024,"600,00",SIM,Platinum
70,Henrique Almeida,henriquealmeida@hotmail.com,11942856890,25/11/1972,Belo Horizonte,RJ,84376489,"600,00",29/10/2024,"600,00",NAO,Silver
71,Paula Yamamoto,paulayamamoto@hotmail.com,31986098319,08/05/1990,Rio de Janeiro,SP,83808696,"600,00",02/06/2024,"600,00",NAO,Platinum
72,Otavio Esteves,otavioesteves@yahoo.com.br,71903567487,02/11/2007,Recife,PR,89407418,"600,00",02/03/2024,"600,00",NAO,Bronze
73,Lucas Mendes,lucasmendes@yahoo.com.br,92921786697,15/01/1947,Brasilia,GO,87525253,"600,00",11/07/2025,"600,00",SIM,Platinum
74,Bruno Zanetti,brunozanetti@empresa.com.br,61911022653,01/09/1966,Sao Paulo,PR,87673835,"600,00",27/02/2024,"600,00",SIM,Gold
75,Henrique Jardim,henriquejardim@empresa.com.br,51969999120,22/05/1958,Brasilia,SC,89854878,"600,00",04/07/2025,"600,00",NAO,Silver
76,Rafael Queiroz,rafaelqueiroz@hotmail.com,85960792514,19/07/1948,  Recife  ,PE,95708213,nan,24/08/2025,"600,00",SIM,Silver
77,Xavier Duarte,xavierduarte@yahoo.com.br,83939216269,23/10/1986,Goiania,SC,90253423,nan,25/04/2025,"600,00",NAO,Gold
78,Sonia Silva,soniasilva@outlook.com,62981806530,04/02/1960,Londrina,PA,97168034,"600,00",13/07/2025,nan,SIM,Bronze
79,Eduarda Uchoa,"eduardauchoa@hotmail,com",86979931257,21/09/1970,  Campinas  ,BA,97183152,"600,00",16/03/2025,"600,00",NAO,Bronze
80,Carla Lima,carlalima@yahoo.com.br,31905192531,05/11/1989,  Londrina  ,PR,87528216,"600,00",05/12/2024,"600,00",NAO,Bronze
81,Vitoria Ibrahim,vitoriaibrahim@empresa.com.br,11933943362,11/30/1979,Rio de Janeiro,AM,81759100,"600,00",23/05/2024,"600,00",NAO,Gold
82,Mariana Yamamoto,,92961508075,06/08/1951,  Brasilia  ,AM,90376369,"600,00",24/01/2025,"600,00",SIM,Platinum
83,Eduarda Cardoso,eduardacardoso@yahoo.com.br,31957982524,17/10/1979,Belem,PR,92475173,"600,00",26/07/2025,"600,00",SIM,Silver
84,Nataly Jardim,natalyjardim@gmail.com,86997284203,31/01/1979,  Manaus  ,PE,90507617,"600,00",16/03/2025,"600,00",SIM,Gold
85,Joao Xavier,joaoxavier@yahoo.com.br,67964376980,01/06/1947,Recife,BA,93406689,"600,00",02/08/2024,"600,00",SIM,Bronze
86,Zuleica Mendes,zuleicamendes@empresa.com.br,84989071602,01/17/2003,  Rio de Janeiro  ,MG,80345100,"600,00",13/02/2025,"600,00",SIM,Bronze
87,Otavio Lima,otaviolima@empresa.com.br,86917125840,25/12/1972,  Rio de Janeiro  ,GO,95602099,"600,00",30/07/2024,"600,00",NAO,Gold
88,Diego Almeida,diegoalmeida@gmail.com,62984543858,21/09/1961,Campinas,MG,80145721,"600,00",21/07/2024,"600,00",SIM,Platinum
89,Zuleica Ribeiro,zuleicaribeiro@outlook.com,86986466134,21/05/2000,Brasilia,SC,90262120,"600,00",31/10/2024,"600,00",NAO,Silver
90,Tiago Esteves,tiagoesteves@yahoo.com.br,51990913733,18/03/1977,Florianopolis,CE,93406701,"600,00",18/07/2024,"600,00",SIM,Platinum
91,Zuleica Yamamoto,zuleicayamamoto@gmail.com,85992679115,25/09/1948,Belo Horizonte,BA,81056460,"600,00",11/03/2025,"600,00",NAO,Gold
92,Zuleica Hernandez,zuleicahernandez@empresa.com.br,84927193281,03/05/1993,Sao Paulo,BA,84442985,"600,00",26/10/2024,"600,00",SIM,Bronze
93,Wagner Esteves,wagneresteves@outlook.com,86923295402,05/04/1991,  Maringa  ,DF,99069002,"600,00",12/01/2025,"600,00",NAO,Gold
94,Wagner Lima,wagnerlima@empresa.com.br,86943996289,14/02/1949,Porto Alegre,CE,94460467,"600,00",15/04/2025,"600,00",NAO,Silver
95,Ulisses Jardim,ulissesjardim@outlook.com,51908487493,24Feb1964,Fortaleza,SP,80304008,"600,00",30/08/2025,"600,00",SIM,Platinum
96,Carla Hernandez,carlahernandez@gmail.com,83921813340,12/02/1964,Curitiba,RJ,84587770,"600,00",29/03/2025,"600,00",NAO,Bronze
97,Henrique Ibrahim,henriqueibrahim@hotmail.com,11949424366,26May1989,Recife,RS,91832956,"600,00",26/05/2025,"600,00",NAO,Bronze
98,Felipe Yamamoto,"felipeyamamoto@gmail,com",21909907520,06/20/2002,Joinville,PE,82589523,"600,00",05/06/2024,"600,00",NAO,Gold
99,Yasmin Uchoa,yasminuchoa@gmail.com,62909485005,04/10/2004,Belo Horizonte,AM,96266975,"600,00",20/05/2024,"600,00",SIM,Silver
100,Xavier Yamamoto,xavieryamamoto827@gmail.com,91910465308,10/28/1989,Rio de Janeiro,BA,87484758,"600,00",10/06/2024,"600,00",NAO,Bronze
101,Mariana Esteves,marianaesteves@gmail.com,84936786272,09/18/1955,Belem,SP,93137070,"600,00",23/02/2024,"600,00",NAO,Bronze
102,Otavio Almeida,otavioalmeida@outlook.com,85960339083,02/08/1993,Fortaleza,PE,90076106,"600,00",10/01/2024,"600,00",SIM,Platinum
103,Eduarda Watanabe,eduardawatanabe@gmail.com,81975112391,11/12/1995,Porto Alegre,PE,90322948,"600,00",13/05/2024,"600,00",SIM,Gold
104,Carla Goncalves,carlagoncalves@empresa.com.br,79966602978,10/02/1953,Recife,CE,90741151,"600,00",07/11/2024,"600,00",SIM,Silver
105,Iara Ferreira,iaraferreira@yahoo.com.br,41975702669,09/12/1980,Sao Paulo,MG,80714066,"600,00",27/03/2024,"600,00",SIM,Bronze
106,Zuleica Klein,zuleicaklein@yahoo.com.br,83981281483,05/01/1985,Florianopolis,RJ,93500903,"600,00",08/09/2024,"600,00",SIM,Platinum
107,Zuleica Queiroz,zuleicaqueiroz@empresa.com.br,81978599921,08/10/1973,Joinville,RS,99136238,"600,00",14/10/2024,"600,00",NAO,Gold
108,Xavier Barbosa,xavierbarbosa@hotmail.com,51928854875,26/07/1995,Goiania,PR,85752502,nan,11/07/2024,"600,00",SIM,Gold
109,Karen Teixeira,karenteixeira@hotmail.com,79909751359,08/07/1978,Porto Alegre,BA,85161749,"600,00",10/12/2024,"600,00",NAO,Silver
110,Rafael Watanabe,rafaelwatanabe@empresa.com.br,51961996026,30/11/1995,Porto Alegre,PR,96258144,"600,00",21/11/2024,"600,00",NAO,Bronze
111,Carla Watanabe,carlawatanabe@outlook.com,31957425205,22Feb1982,Sao Paulo,GO,95711807,"600,00",25/12/2024,"600,00",SIM,Bronze
112,Bruno Jardim,brunojardim@outlook.com,83926362228,12/09/1983,Rio de Janeiro,AM,90849210,"600,00",20/03/2025,"600,00",SIM,Bronze
113,Vitoria Jardim,"vitoriajardim@gmail,com",47908936911,30/11/1962,Manaus,PA,95517864,"600,00",23/06/2024,"600,00",SIM,Bronze
114,Ulisses Ribeiro,ulissesribeiro@outlook.com,67972048619,10/12/2004,Salvador,RJ,92684838,"600,00",27/02/2025,"600,00",NAO,Bronze
115,Henrique Pereira,henriquepereira@yahoo.com.br,91993633415,27/04/1956,Maringa,RJ,90477932,"600,00",21/03/2025,"600,00",SIM,Gold
116,Iara Queiroz,iaraqueiroz@gmail.com,84918437790,20/01/1993,Belo Horizonte,AM,81227176,"600,00",27/09/2024,"600,00",NAO,Platinum
117,Karen Watanabe,karenwatanabe@yahoo.com.br,71950945593,02/10/1984,Belo Horizonte,MG,94474216,"600,00",02/03/2025,"600,00",NAO,Silver
118,Bruno Queiroz,brunoqueiroz@gmail.com,91993171474,15/07/1949,Recife,MG,84059697,"600,00",07/10/2024,"600,00",NAO,Platinum
119,Sonia Ribeiro,soniaribeiro@hotmail.com,31946701449,21Feb1969,Recife,PA,99698820,"600,00",10/01/2024,"600,00",SIM,Silver
120,Ulisses Ibrahim,ulissesibrahim@yahoo.com.br,71985307506,23/08/1999,Joinville,SC,89059655,"600,00",20/04/2024,"600,00",NAO,Gold
121,Gabriela Esteves,gabrielaesteves@hotmail.com,83952363292,01/11/1979,Londrina,RS,97518653,"600,00",08/08/2025,"600,00",NAO,Silver
122,Vitoria Ribeiro,vitoriaribeiro@gmail.com,92929996499,07/05/1978,Goiania,RS,99122594,"600,00",19/04/2025,"600,00",NAO,Bronze
123,Mariana Queiroz,marianaqueiroz@gmail.com,79967048496,12/02/1973,Florianopolis,CE,96042804,"600,00",07/10/2024,"600,00",SIM,Silver
124,Paula Mendes,paulamendes@empresa.com.br,79987004122,20/03/1954,Fortaleza,SC,89771971,"600,00",09/11/2024,"600,00",NAO,Bronze
125,Eduarda Klein,eduardaklein@yahoo.com.br,nan,29/02/1960,Porto Alegre,PR,99461049,"600,00",08/02/2024,"600,00",SIM,Bronze
126,Mariana Duarte,marianaduarte@yahoo.com.br,11949337895,05/31/1954,Joinville,AM,96309203,"600,00",30/04/2024,"600,00",NAO,Bronze
127,Nataly Jardim,natalyjardim@empresa.com.br,79938421044,01/30/1953,Belo Horizonte,PA,89700270,"600,00",13/04/2024,"600,00",NAO,Platinum
128,Zuleica Vieira,zuleicavieira@gmail.com,47927936384,29/05/1961,Salvador,SP,93819664,"600,00",12/04/2025,"600,00",SIM,Platinum
129,Felipe Duarte,felipeduarte@empresa.com.br,83958751472,15/07/1984,Porto Alegre,CE,91085531,"600,00",17/11/2024,"600,00",SIM,Silver
130,Lucas Vieira,lucasvieira@yahoo.com.br,21901903571,12/08/1966,Londrina,SP,93214836,"600,00",21/02/2024,"600,00",NAO,Platinum
131,Otavio Klein,otavioklein414@yahoo.com.br,92989961002,01/08/1975,Manaus,BA,91904733,nan,16/08/2024,"600,00",NAO,Platinum
132,Ulisses Zanetti,ulisseszanetti@empresa.com.br,86923017704,05/02/1962,Recife,PE,94987674,nan,28/02/2025,"600,00",NAO,Platinum
133,Rafael Nogueira,rafaelnogueira@yahoo.com.br,51921032696,17/02/2007,Belem,PE,84527422,"600,00",17/12/2024,"600,00",NAO,Silver
134,Karen Watanabe,karenwatanabe@empresa.com.br,71956573173,08/08/1976,Florianopolis,GO,93840827,"600,00",07/08/2025,"600,00",SIM,Gold
135,Iara Yamamoto,iarayamamoto@outlook.com,71933429866,01/21/2003,  Maringa  ,PA,92503396,"600,00",07/06/2025,"600,00",SIM,Bronze
136,Xavier Ibrahim,xavieribrahim@yahoo.com.br,81996409955,08/04/1960,Recife,RJ,84262164,"600,00",11/02/2024,"600,00",SIM,Gold
137,Eduarda Klein,eduardaklein@empresa.com.br,92958662194,20/04/1959,Fortaleza,BA,86991679,"600,00",17/02/2025,"600,00",NAO,Silver
138,Rafael Yamamoto,rafaelyamamoto@gmail.com,62906536258,16/05/1991,Belo Horizonte,BA,89713919,"600,00",04/06/2025,"600,00",NAO,Bronze
139,Yasmin Ribeiro,yasminribeiro@gmail.com,84917024368,14/03/1986,Campinas,SP,98287072,"600,00",16/03/2024,"600,00",SIM,Gold
140,Nataly Klein,natalyklein@gmail.com,21911896860,13/06/1980,Manaus,RS,97882302,"600,00",30/06/2025,"600,00",SIM,Platinum
141,Xavier Uchoa,xavieruchoa@gmail.com,11993837456,01/08/1982,Rio de Janeiro,GO,83755185,"600,00",07/07/2024,"600,00",SIM,Silver
142,Rafael Oliveira,,86954206851,06/07/1973,  Fortaleza  ,AM,90365981,"600,00",09/11/2024,"600,00",SIM,Gold
143,Nataly Ibrahim,natalyibrahim@hotmail.com,85958776004,28/04/1993,Florianopolis,SP,96619646,"600,00",19/03/2024,"600,00",NAO,Bronze
144,Rafael Ibrahim,rafaelibrahim@empresa.com.br,62996605767,14/06/2004,  Joinville  ,SC,85217183,"600,00",18/06/2024,"600,00",SIM,Platinum
145,Lucas Barbosa,lucasbarbosa@yahoo.com.br,61984856918,11/10/1991,Maringa,PR,92342669,"600,00",26/09/2024,"600,00",SIM,Silver
146,Henrique Queiroz,henriquequeiroz@outlook.com,91922768207,13/02/1959,Joinville,MG,90820737,"600,00",01/05/2024,"600,00",NAO,Platinum
147,Nataly Almeida,natalyalmeida@hotmail.com,21993763406,16/03/2002,Florianopolis,PE,99874482,"600,00",17/10/2024,"600,00",NAO,Platinum
148,Yasmin Ferreira,yasminferreira@empresa.com.br,85997732127,26May2006,  Porto Alegre  ,MG,97413515,"600,00",08/04/2024,"600,00",NAO,Bronze
149,Ana Yamamoto,anayamamoto@yahoo.com.br,nan,05/03/1983,Brasilia,DF,88447193,"600,00",26/08/2024,"600,00",SIM,Platinum
150,Mariana Uchoa,marianauchoa@outlook.com,67942819783,07/14/1994,Salvador,PE,88315314,"600,00",14/01/2025,"600,00",SIM,Platinum
151,Diego Xavier,diegoxavier@hotmail.com,92908523633,23/01/1984,Curitiba,RJ,92593953,"600,00",15/08/2024,"600,00",NAO,Bronze
152,Yasmin Ferreira,"yasminferreira@yahoo,com,br",91946854190,21/06/2005,Joinville,MG,93088361,nan,01/01/2024,"600,00",NAO,Gold
153,Carla Ribeiro,carlaribeiro@empresa.com.br,67937074187,13/02/1995,Curitiba,PE,97626832,"600,00",14/12/2024,"600,00",SIM,Gold
154,Henrique Yamamoto,henriqueyamamoto@yahoo.com.br,86919045224,09/05/1976,Fortaleza,MG,93072689,"600,00",26/09/2024,"600,00",SIM,Bronze
155,Gabriela Silva,gabrielasilva@hotmail.com,67933874755,19/08/2005,Goiania,SP,90335504,"600,00",08/07/2025,"600,00",NAO,Gold
156,Yasmin Queiroz,yasminqueiroz@hotmail.com,84978369859,10/20/1955,Brasilia,DF,99038103,"600,00",09/01/2024,"600,00",NAO,Platinum
157,Paula Teixeira,paulateixeira@hotmail.com,81959817563,21/03/1969,Porto Alegre,PA,95498825,"600,00",25/01/2025,"600,00",SIM,Silver
158,Rafael Xavier,rafaelxavier@yahoo.com.br,83916213676,10/01/1975,Salvador,PA,80649421,"600,00",27/07/2025,"600,00",SIM,Gold
159,Ulisses Ribeiro,ulissesribeiro@outlook.com,85912847243,08/20/2001,Porto Alegre,PA,87478321,"600,00",14/03/2024,"600,00",SIM,Gold
160,Otavio Yamamoto,otavioyamamoto@outlook.com,51930121378,23/12/1959,Salvador,GO,80863789,"600,00",06/03/2024,"600,00",SIM,Bronze
161,Ulisses Mendes,ulissesmendes@hotmail.com,91927951468,19/03/1994,Belem,CE,97152655,"600,00",06/07/2025,"600,00",NAO,Platinum
162,Otavio Jardim,otaviojardim536@outlook.com,47956345698,14/08/1983,Londrina,CE,93491903,"600,00",08/01/2024,"600,00",NAO,Silver
163,Mariana Hernandez,,67946649715,02/06/2000,Rio de Janeiro,RS,84985050,"600,00",18/05/2025,"600,00",NAO,Bronze
164,Otavio Xavier,otavioxavier@gmail.com,71981657084,28/11/1968,Sao Paulo,DF,92503848,"600,00",26/04/2025,"600,00",NAO,Gold
165,Henrique Xavier,henriquexavier@hotmail.com,61977467375,26/09/1991,Belem,GO,87136996,"600,00",01/11/2024,"600,00",NAO,Bronze
166,Diego Mendes,diegomendes@gmail.com,47960842466,23/11/1976,Rio de Janeiro,SC,90378571,"600,00",19/04/2024,"600,00",NAO,Silver
167,Wagner Mendes,wagnermendes724@hotmail.com,71988929029,01/10/1994,Goiania,CE,97747375,"600,00",07/06/2024,"600,00",SIM,Gold
168,Tiago Lima,tiagolima@hotmail.com,83931109586,29/11/1954,Porto Alegre,SC,81024206,"600,00",09/03/2024,"600,00",SIM,Silver
169,Paula Queiroz,paulaqueiroz@empresa.com.br,31902144419,24/01/1995,Rio de Janeiro,PA,82306854,"600,00",29/02/2024,"600,00",SIM,Bronze
170,Rafael Mendes,rafaelmendes@empresa.com.br,92991447802,20/12/1959,Goiania,GO,91544924,"600,00",31/05/2025,"600,00",SIM,Platinum
171,Nataly Xavier,natalyxavier@hotmail.com,67958988412,10/06/1991,Curitiba,RS,87039876,"600,00",05/11/2024,"600,00",SIM,Silver
172,Quesia Ribeiro,quesiaribeiro365@empresa.com.br,67960145093,05/12/1951,  Manaus  ,PE,81224748,"600,00",26/06/2024,"600,00",NAO,Gold
173,Nataly Nogueira,natalynogueira@gmail.com,11962661886,08/08/2007,Belem,RJ,87277442,"600,00",06/02/2025,"600,00",SIM,Bronze
174,Bruno Ribeiro,brunoribeiro@gmail.com,47978794245,28/09/1966,Recife,GO,93552433,"600,00",16/03/2025,"600,00",NAO,Bronze
175,Felipe Lima,felipelima@yahoo.com.br,62932717124,02/04/1958,  Rio de Janeiro  ,PR,80745339,"600,00",23/04/2024,"600,00",NAO,Platinum
176,Paula Teixeira,paulateixeira@hotmail.com,91907125185,18/09/1986,Recife,AM,80625299,"600,00",04/10/2024,"600,00",NAO,Bronze
177,Diego Klein,diegoklein@empresa.com.br,85991861352,26/08/1946,Joinville,CE,96425282,"600,00",29/12/2024,"600,00",SIM,Silver
178,Ana Ribeiro,anaribeiro@hotmail.com,31962629531,01/10/1973,Fortaleza,AM,99039554,"600,00",09/07/2025,"600,00",NAO,Silver
